episode,total_reward,success,steps,options_used,epsilon
173,58.5000,1,60,20,0.4201
174,30.7000,1,93,31,0.4180
175,-38.0000,1,99,33,0.4159
176,9.9000,1,81,27,0.4139
177,43.2000,1,111,37,0.4118
178,-32.9000,1,102,34,0.4097
179,16.2000,1,69,23,0.4077
180,4.8000,1,132,44,0.4057
181,13.4000,1,126,42,0.4036
182,-1.9000,1,126,42,0.4016
183,1.3000,1,84,28,0.3996
184,36.3000,1,69,23,0.3976
185,-100.0000,1,120,40,0.3956
186,159.6000,1,96,32,0.3936
187,-47.4000,1,99,33,0.3917
188,31.2000,1,99,33,0.3897
189,7.0000,1,132,44,0.3878
190,40.8000,1,96,32,0.3858
191,17.2000,1,72,24,0.3839
192,28.2000,1,69,23,0.3820
193,-18.1000,1,87,29,0.3801
194,54.7000,1,51,17,0.3782
195,114.3000,1,69,23,0.3763
196,3.9000,1,87,29,0.3744
197,-11.6000,1,105,35,0.3725
198,11.2000,1,81,27,0.3707
199,66.8000,1,54,18,0.3688
